"","entrezgene_id","model_gene","ensembl_gene_id"
"576",2686,2686.1,"ENSG00000131067"
"577",2687,2687.1,"ENSG00000099998"
"578",2694,2694.1,"ENSG00000134812"
"579",2710,2710.2,"ENSG00000198814"
"580",2710,2710.1,"ENSG00000198814"
"581",2712,2712.1,"ENSG00000196475"
"582",2717,2717.1,"ENSG00000102393"
"583",2720,2720.1,"ENSG00000170266"
"584",2729,2729.1,"ENSG00000001084"
"585",2730,2730.1,"ENSG00000023909"
"586",2731,2731.1,"ENSG00000178445"
"587",2739,2739.1,"ENSG00000124767"
"588",2744,2744.1,"ENSG00000115419"
"589",2745,2745.1,"ENSG00000173221"
"590",2746,2746.1,"ENSG00000148672"
"591",2747,2747.1,"ENSG00000288118"
"592",2747,2747.1,"ENSG00000182890"
"593",2752,2752.1,"ENSG00000135821"
"594",2762,2762.1,"ENSG00000112699"
"595",2766,2766.1,"ENSG00000137198"
"596",2799,2799.1,"ENSG00000135677"
"597",2805,2805.1,"ENSG00000120053"
"598",2806,2806.1,"ENSG00000125166"
"599",2819,2819.1,"ENSG00000167588"
"600",2820,2820.1,"ENSG00000115159"
"601",2821,2821.1,"ENSG00000105220"
"602",2821,2821.1,"ENSG00000282019"
"603",2875,2875.1,"ENSG00000167701"
"604",2876,2876.1,"ENSG00000233276"
"605",2876,2876.2,"ENSG00000233276"
"606",2877,2877.1,"ENSG00000176153"
"607",2878,2878.1,"ENSG00000211445"
"608",2879,2879.1,"ENSG00000167468"
"609",2880,2880.1,"ENSG00000224586"
"610",2880,2880.1,"ENSG00000257770"
"611",2882,2882.1,"ENSG00000116157"
"612",2936,2936.1,"ENSG00000104687"
"613",2937,2937.1,"ENSG00000100983"
"614",2944,2944.2,"ENSG00000134184"
"615",2944,2944.1,"ENSG00000134184"
"616",2954,2954.1,"ENSG00000100577"
"617",2954,2954.3,"ENSG00000100577"
"618",2954,2954.2,"ENSG00000100577"
"619",2977,2977.1,"ENSG00000152402"
"620",2978,2978.1,"ENSG00000048545"
"621",2978,2978.1,"ENSG00000287363"
"622",2982,2982.1,"ENSG00000164116"
"623",2983,2983.1,"ENSG00000061918"
"624",2984,2984.1,"ENSG00000070019"
"625",2986,2986.1,"ENSG00000101890"
"626",2987,2987.1,"ENSG00000143774"
"627",2990,2990.1,"ENSG00000169919"
"628",2992,2992.1,"ENSG00000163754"
"629",2997,2997.1,"ENSG00000104812"
"630",2998,2998.1,"ENSG00000111713"
"631",3000,3000.1,"ENSG00000132518"
"632",3028,3028.1,"ENSG00000072506"
"633",3029,3029.1,"ENSG00000063854"
"634",3030,3030.1,"ENSG00000084754"
"635",3032,3032.1,"ENSG00000138029"
"636",3033,3033.1,"ENSG00000138796"
"637",3034,3034.1,"ENSG00000084110"
"638",3036,3036.1,"ENSG00000105509"
"639",3037,3037.1,"ENSG00000170961"
"640",3038,3038.1,"ENSG00000103044"
"641",3038,3038.2,"ENSG00000103044"
"642",3067,3067.1,"ENSG00000140287"
"643",3073,3073.1,"ENSG00000213614"
"644",3074,3074.1,"ENSG00000049860"
"645",3081,3081.1,"ENSG00000113924"
"646",3098,3098.3,"ENSG00000156515"
"647",3098,3098.4,"ENSG00000156515"
"648",3098,3098.5,"ENSG00000156515"
"649",3098,3098.2,"ENSG00000156515"
"650",3098,3098.1,"ENSG00000156515"
"651",3099,3099.1,"ENSG00000159399"
"652",3101,3101.1,"ENSG00000160883"
"653",3141,3141.1,"ENSG00000159267"
"654",3145,3145.1,"ENSG00000256269"
"655",3155,3155.1,"ENSG00000117305"
